Product_detail_id,Product_Name,Product_Price,Product_Image_URL,Product_Category,rating
3112,"Del Monte Penne Pasta (Imported from Italy), 100% Durum Wheat Semolina, 1kg",349,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81zVK7xgbtL._AC_UL320_.jpg,fresh pasta,3.5
3113,"Amazon Brand - Solimo Durum Wheat Farfalle Pasta, 500 grams Pouch",89,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61-rcJiXTiL._AC_UL320_.jpg,fresh pasta,4.4
3114,"Barilla Spaghetti Pasta, 500G",299,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/51Zq4ArNz-L._AC_UL320_.jpg,fresh pasta,4.5
3115,"Del Monte FoodCraft Spirali Pasta, 100% Durum Wheat Semolina, 1kg",129,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71L2IzCwA3S._AC_UL320_.jpg,fresh pasta,3.3
3116,"Borges Penne Rigate Durum Wheat Pasta, 500 grams",181,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81G0z6751DL._AC_UL320_.jpg,fresh pasta,3.9
3117,"Organic Wisdom-Back to Roots Multi-millet Penne Pasta | Protein rich pasta with 9 super grains | No Maida, Not Fried, No MSG|Sun Dried| 180 gm(pack of 1)",230,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/81XHHLWwHNL._AC_UL320_.jpg,fresh pasta,4.1
3118,Natureland Organics Pasta Penne 250 Gm - Organic Pasta,80,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61umfDW6hML._AC_UL320_.jpg,fresh pasta,3.4
3119,"Del Monte Chifferi Pasta (Imported From Italy), 100% Durum Wheat Semolina, 500Gram",199,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61ZDpSm1jLL._AC_UL320_.jpg,fresh pasta,3.8
3120,"CookGarden Multi Veggie Penne Pasta 300g | Goodness of Spinach, Beetroot, Carrot (Penne)",169,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71aVFykdQRL._AC_UL320_.jpg,fresh pasta,4.9
3121,"Del Monte FoodCraft Spirali Pasta, 100% Durum Wheat Semolina, 1kg",129,https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71L2IzCwA3S._AC_UL320_.jpg,fresh pasta,3.6
3122,N/A,N/A,,fresh pasta,3.1
3123,N/A,N/A,,fresh pasta,4.6
3124,N/A,N/A,,fresh pasta,3.2
3125,N/A,N/A,,fresh pasta,3.2
3126,N/A,N/A,,fresh pasta,3.7
3127,N/A,N/A,,pasta sauce,4.7
3128,N/A,N/A,,pasta sauce,3.3
3129,Aamra Homemade Tomato Garlic Basil Pizza Pasta Sauce 400gm and Aamra Homemade Roasted Garlic & Bell Peppers Sauce 365gm (Combo of 2 Pasta Sauces),579,https://m.media-amazon.com/images/I/91xknxfzKYL._AC_UL320_.jpg,pasta sauce,4.4
3130,"Aamra Homemade Tomato Garlic Basil Pizza Pasta Sauce, 400 grams",319,https://m.media-amazon.com/images/I/71u-g1RFIrL._AC_UL320_.jpg,pasta sauce,4.9
3131,"NAAGIN Pantry Essentials – Premium Pizza Sauce (380g) | Italian Pizza Sauce | With Chef’s secret spice mix| Made with Real and Fresh Vegetables | 100% Vegan | No Artificial Colours/Flavours | Perfect as a Condiment, Cooking Sauce or Marinade | Proudly Made in India",219,https://m.media-amazon.com/images/I/51R3X9rq+cL._AC_UL320_.jpg,pasta sauce,3.7
3132,"NAAGIN Pantry Essentials – Premium Pasta Sauce (380g) | Italian Pasta Sauce | Marinara Sauce| Made with Fresh Vegetables & Guntur Chillies | 100% Vegan | No Artificial Colours/Flavours | Perfect as a Condiment, Cooking Sauce or Marinade | Proudly Made in India",219,https://m.media-amazon.com/images/I/51dEYPtDbvL._AC_UL320_.jpg,pasta sauce,4.5
3133,"Wingreens Farms- Pizza 'N' Pasta Sauce, 450g, Pack of 1",131,https://m.media-amazon.com/images/I/61AHbTFBg9L._AC_UL320_.jpg,pasta sauce,4.9
3134,"Del Monte Pizza & Pasta Sauce Spout Pack, 400g",95,https://m.media-amazon.com/images/I/71uc5PdLfGL._AC_UL320_.jpg,pasta sauce,4.0
3135,"Dr.Oetker FUNFOODS Pasta and Pizza Sauce, 800g",179,https://m.media-amazon.com/images/I/41zHRL5RVYL._AC_UL320_.jpg,pasta sauce,3.8
3136,Ragu Roasted Garlic Pasta Sauce Product of USA (Pack of 1),442,https://m.media-amazon.com/images/I/71wiQVmXK+L._AC_UL320_.jpg,pasta sauce,4.9
3137,Ragu Roasted Garlic Pasta Sauce Product of USA (Pack of 1),442,https://m.media-amazon.com/images/I/71wiQVmXK+L._AC_UL320_.jpg,pasta sauce,4.6
3138,"Ragu Simply No Sugar Added Traditional Pasta Sauce, 680g, Product of USA",470,https://m.media-amazon.com/images/I/71xcmDY1rhL._AC_UL320_.jpg,pasta sauce,3.8
